id,code,siruta_code,level,parent_code,name_ro,nuts,type,urban,source
1,RO,,NATIONAL,,TOTAL,,,,STATIC
2,RO1,,NUTS1,RO,MACROREGIUNEA UNU,,,,STATIC
3,RO2,,NUTS1,RO,MACROREGIUNEA DOI,,,,STATIC
4,RO3,,NUTS1,RO,MACROREGIUNEA TREI,,,,STATIC
5,RO4,,NUTS1,RO,MACROREGIUNEA PATRU,,,,STATIC
6,RO11,,NUTS2,RO1,Nord-Vest,,,,STATIC
7,RO12,,NUTS2,RO1,Centru,,,,STATIC
8,RO21,,NUTS2,RO2,Nord-Est,,,,STATIC
9,RO22,,NUTS2,RO2,Sud-Est,,,,STATIC
10,RO31,,NUTS2,RO3,Sud - Muntenia,,,,STATIC
11,RO32,,NUTS2,RO3,București - Ilfov,,,,STATIC
12,RO41,,NUTS2,RO4,Sud-Vest Oltenia,,,,STATIC
13,RO42,,NUTS2,RO4,Vest,,,,STATIC
14,AB,,NUTS3,RO12,Alba,,40,,STATIC
16,AG,,NUTS3,RO31,Argeș,,40,,STATIC
15,AR,,NUTS3,RO42,Arad,,40,,STATIC
23,B,,NUTS3,RO32,București,,40,,STATIC
17,BC,,NUTS3,RO21,Bacău,,40,,STATIC
18,BH,,NUTS3,RO11,Bihor,,40,,STATIC
19,BN,,NUTS3,RO11,Bistrița-Năsăud,,40,,STATIC
22,BR,,NUTS3,RO22,Brăila,,40,,STATIC
20,BT,,NUTS3,RO21,Botoșani,,40,,STATIC
21,BV,,NUTS3,RO12,Brașov,,40,,STATIC
24,BZ,,NUTS3,RO22,Buzău,,40,,STATIC
27,CJ,,NUTS3,RO11,Cluj,,40,,STATIC
26,CL,,NUTS3,RO31,Călărași,,40,,STATIC
25,CS,,NUTS3,RO42,Caraș-Severin,,40,,STATIC
28,CT,,NUTS3,RO22,Constanța,,40,,STATIC
29,CV,,NUTS3,RO12,Covasna,,40,,STATIC
30,DB,,NUTS3,RO31,Dâmbovița,,40,,STATIC
31,DJ,,NUTS3,RO41,Dolj,,40,,STATIC
34,GJ,,NUTS3,RO41,Gorj,,40,,STATIC
